"source","target","sum"
"47","56",31
"70","18",31
"62","31",31
"35","27",30
"75","24",30
"64","31",30
"73","18",29
"44","27",29
"62","27",29
"43","56",29
"29","66",28
"59","42",28
"70","20",28
"59","40",28
"72","50",28
"74","14",27
"41","44",27
"41","54",27
"38","63",27
"49","44",26
"41","66",26
"31","56",26
"73","24",26
"72","22",26
"47","54",26
"45","27",26
"68","28",26
"56","14",26
"59","35",25
"35","44",25
"61","42",25
"43","63",25
"72","28",24
"79","8",24
"50","33",24
"77","10",24
"74","18",24
"40","63",23
"55","40",23
"45","33",23
"60","42",23
"41","56",23
"64","40",22
"77","20",22
"53","63",22
"39","63",22
"59","33",22
"62","35",22
"52","56",22
"68","33",21
"71","27",21
"73","50",21
"64","42",21
"27","46",21
"70","33",21
"55","35",21
"27","44",20
"61","40",20
"75","18",20
"61","33",20
"44","31",20
"44","50",20
"50","42",20
"45","50",20
"80","8",20
"57","46",19
"68","31",19
"42","54",19
"63","10",19
"67","24",19
"29","63",19
"49","60",18
"60","35",18
"45","46",18
"31","45",18
"65","42",18
"40","56",18
"69","31",17
"50","45",17
"21","66",17
"73","21",17
"57","44",17
"47","60",17
"49","66",17
"65","33",17
"49","54",16
"62","42",16
"65","40",16
"51","45",16
"51","60",16
"51","44",16
"33","60",16
"60","40",15
"53","45",15
"68","40",15
"71","42",15
"50","35",14
"51","56",14
"72","31",14
"81","8",14
"68","42",14
"70","22",14
"54","22",14
"52","63",14
"51","54",14
"64","35",14
"70","21",13
"75","22",13
"71","35",13
"78","10",13
"69","50",13
"62","40",13
"71","40",13
"46","54",13
"18","66",13
"52","46",13
"67","22",12
"80","11",12
"47","66",12
"49","56",12
"53","44",12
"82","8",12
"71","31",12
"56","22",12
"67","28",12
"68","35",12
"52","44",11
"57","66",11
"53","66",11
"52","45",11
"33","46",11
"73","28",10
"67","20",10
"73","22",10
"41","63",10
"76","24",10
"33","54",10
"33","45",10
"47","63",9
"24","66",9
"70","27",9
"28","66",9
"67","50",9
"54","28",9
"70","50",9
"57","63",9
"63","14",9
"55","46",9
"35","46",9
"66","35",9
"40","60",9
"42","63",8
"82","10",8
"69","40",8
"83","8",8
"53","54",8
"67","27",8
"73","31",8
"76","18",8
"75","21",8
"49","63",8
"79","11",7
"58","46",7
"82","11",7
"31","46",7
"52","60",7
"64","33",7
"77","14",7
"76","50",7
"58","45",6
"44","45",6
"48","54",6
"56","28",6
"27","60",6
"55","60",6
"69","27",6
"71","33",6
"60","54",6
"69","33",6
"55","66",5
"78","14",5
"76","33",5
"62","46",5
"75","50",5
"75","35",5
"42","56",5
"77","18",5
"60","45",5
"70","35",4
"55","45",4
"72","33",4
"74","21",4
"44","35",4
"50","40",4
"74","22",4
"35","54",4
"42","60",4
"71","66",4
"33","44",4
"77","24",4
"57","56",4
"54","50",4
"48","60",4
"55","44",4
"79","10",4
"50","54",4
"77","50",4
"73","27",3
"65","46",3
"70","28",3
"80","10",3
"72","35",3
"57","60",3
"51","63",3
"31","60",3
"66","8",3
"73","42",3
"67","21",3
"53","56",3
"78","20",3
"74","50",3
"71","56",3
"75","31",3
"51","66",3
"55","56",2
"54","42",2
"75","33",2
"55","54",2
"56","50",2
"61","46",2
"78","27",2
"68","46",2
"78","18",2
"68","44",2
"45","54",2
"81","50",2
"68","45",2
"72","42",2
"76","21",2
"54","33",2
"44","33",2
"56","42",2
"75","27",1
"62","45",1
"44","60",1
"60","44",1
"77","22",1
"74","27",1
"75","40",1
"83","11",1
"76","27",1
"33","63",1
"45","63",1
"70","31",1
"46","60",1
"60","46",1
"62","44",1
"76","22",1
"74","31",1
"79","14",1
"61","45",1
"78","21",1
"63","50",1
"75","28",1
"50","60",1
"63","22",1
"74","28",1
"67","35",1
"67","33",1
"65","45",1
"45","66",1
"69","35",1
"78","24",1
"65","56",0
"66","28",0
"44","66",0
"78","22",0
"55","63",0
"83","35",0
"63","40",0
"82","40",0
"48","63",0
"59","45",0
"40","66",0
"73","54",0
"66","60",0
"63","44",0
"63","60",0
"76","56",0
"76","63",0
"79","66",0
"78","56",0
"80","66",0
"68","60",0
"74","56",0
"62","56",0
"81","11",0
"71","60",0
"83","24",0
"83","14",0
"63","35",0
"63","33",0
"64","54",0
"80","21",0
"82","22",0
"54","44",0
"80","60",0
"64","56",0
"46","56",0
"72","63",0
"84","24",0
"84","45",0
"81","46",0
"79","56",0
"83","46",0
"78","45",0
"80","45",0
"80","54",0
"80","63",0
"80","35",0
"68","56",0
"58","56",0
"62","66",0
"81","24",0
"81","22",0
"79","22",0
"83","21",0
"83","28",0
"63","42",0
"80","50",0
"80","18",0
"74","42",0
"72","46",0
"66","50",0
"56","46",0
"79","35",0
"71","54",0
"69","63",0
"80","28",0
"80","31",0
"70","45",0
"72","44",0
"76","40",0
"66","45",0
"27","66",0
"69","54",0
"50","44",0
"70","42",0
"82","27",0
"70","66",0
"54","60",0
"82","63",0
"77","54",0
"68","54",0
"74","60",0
"59","54",0
"66","46",0
"84","35",0
"76","44",0
"69","46",0
"78","66",0
"78","31",0
"82","56",0
"80","40",0
"77","45",0
"68","66",0
"74","44",0
"58","63",0
"58","44",0
"72","45",0
"81","31",0
"61","56",0
"83","50",0
"83","10",0
"64","45",0
"82","45",0
"77","31",0
"64","46",0
"77","21",0
"33","56",0
"59","63",0
"59","66",0
"59","46",0
"62","60",0
"84","14",0
"84","20",0
"76","42",0
"44","54",0
"67","56",0
"60","56",0
"65","63",0
"84","31",0
"84","33",0
"76","45",0
"76","66",0
"81","45",0
"83","66",0
"83","40",0
"82","46",0
"76","31",0
"81","10",0
"84","8",0
"81","18",0
"79","42",0
"83","18",0
"80","14",0
